,ОКТМО,Население 2016,Число работников 2016,Число работников-россиян 2016,Число работников-иностранцев 2016,Средняя белая зарплата 2016,Средняя белая зарплата россиян 2016,Средняя белая зарплата иностранцев 2016,Население 2018,Число работников 2018,Число работников-россиян 2018,Число работников-иностранцев 2018,Средняя белая зарплата 2018,Средняя белая зарплата россиян 2018,Средняя белая зарплата иностранцев 2018,"Доля иностранных работников 2016, %","Доля иностранных работников 2018, %",Темпы роста числа иностранных работников 2018-2016,"Темпы роста доли иностранных работников 2018-2016, %","Темпы роста населения 2018-2016, %","Темпы роста числа рабочих мест 2018-2016, %","Темпы роста средней белой зарплаты 2018-2016, %",Средняя белая зарплата иностранцев % от российской 2016,Средняя белая зарплата иностранцев % от российской 2018,Число рабочих мест в % к численности населения 2016,Число рабочих мест в % к численности населения 2018,"Темпы роста доли рабочих мест 2016-2018, %"
г. Москва,45000000,12330126,6642392,6256223,389981,58939,59976,41725,12506468,6843758,6361694,486561,69877,72151,39477,5.871092823187792,7.109558812570521,24.765309079160257,21.094300953502664,1.430171922006318,3.0315284012145005,18.558170311678168,70.79353229610275,56.49498404339053,53.87124186727694,54.72174877831215,1.5787772502638964
Богородское,45301000,107629,38509,36443,2068,31161,32041,15623,108111,38006,35106,2902,36181,37533,19782,5.3701732062634715,7.63563647845077,40.32882011605417,42.18603730592876,0.44783469139357823,-1.3061881638058659,16.10988094091974,50.13638843426077,54.67510571847102,35.779390313019725,35.15460961419282,-1.7462027534872582
Вешняки,45302000,122124,18644,18096,549,33709,34453,9121,122123,22917,21473,1445,37181,38667,15081,2.9446470714438964,6.305362831086094,163.20582877959927,114.1296623365558,-0.0008188398676778341,22.91890152327827,10.299919902696608,27.058055712124357,40.56103924047228,15.266450492941601,18.765506906970842,22.919908040490622
Восточное Измайлово,45303000,77969,22768,21492,1278,38715,40207,13569,77948,19074,17946,1130,48281,50358,15218,5.613141250878425,5.924294851630492,-11.580594679186229,5.543306089141664,-0.026933781374649524,-16.224525650035137,24.708769210900172,35.048430840759394,31.51964540916717,29.201349254190767,24.470159593575204,-16.201955667978517
Восточное,45304000,13363,3350,3271,79,40028,40546,18603,13631,3380,3284,96,49136,49718,29246,2.3582089552238807,2.8402366863905324,21.518987341772156,20.44041644820611,2.0055376786649814,0.8955223880596996,22.754072149495364,46.47496752273408,59.52051449039401,25.069220983312132,24.796419925170568,-1.0881912059539478
Гольяново,45305000,162030,49086,45659,3432,29086,30089,15702,162715,48365,44133,4235,34736,36209,19359,6.991810292140325,8.756332058306626,23.397435897435905,25.236980015745637,0.42276121705857594,-1.4688505887625825,19.42515299456784,53.984734924018426,55.73180561953017,30.29438992779115,29.723750115232153,-1.8836484706216572
Ивановское,45306000,127294,15404,14726,678,32211,33046,14061,127565,14095,12989,1106,36163,37033,25939,4.401454167748637,7.846754168144732,63.12684365781711,78.27640295885165,0.21289298788631505,-8.497792781095814,12.269100617801376,43.65278941976344,71.72800929126456,12.101120241331092,11.049269000117587,-8.692180725722665
Измайлово,45307000,105957,42850,40787,2068,32728,33727,12950,106741,37708,35177,2542,39548,41306,15054,4.826137689614936,6.741275060995014,22.92069632495164,39.68260946017232,0.7399227988712509,-12.0,20.83842581275972,39.568565142996825,38.06513603722059,40.44093358626613,35.326631753496784,-12.646349575139816
Косино-Ухтомское,45308000,80543,10977,10327,650,28460,29389,13696,81588,21042,20113,931,32088,32655,19766,5.921472169080806,4.424484364604125,43.230769230769226,-25.28066943037004,1.29744360155446,91.69171904892046,12.747716092761774,48.123682361208715,61.59935178259786,13.62874489403176,25.7905574349169,89.23648241600726
Метрогородок,45311000,37785,21935,20357,1578,38984,40421,20437,38879,26359,23356,3004,48420,51543,24122,7.193982220196034,11.396486968397891,90.36755386565272,58.41694654740668,2.8953288341934558,20.16868019147482,24.20480197003898,52.4240714139134,49.81825691862866,58.052137091438404,67.79752565652409,16.78730371241224
Новогиреево,45309000,97306,24389,23850,540,30183,30473,17303,98382,25698,23819,1866,35551,36754,20409,2.214112919758908,7.261265468129816,245.55555555555557,227.95371018929274,1.105789982118277,5.367173725860019,17.784845774111258,57.3269721366332,57.40766785744424,25.064230366061704,26.12063182289443,4.21477716013634
Новокосино,45310000,106847,18339,17217,1123,29778,30102,24787,107646,17233,15988,1245,39423,40574,24635,6.123561808168384,7.224511112400626,10.863757791629558,17.97890408754683,0.7477982535775363,-6.030863187741975,32.38968365907717,83.23930418429713,62.48890241737057,17.163794959147193,16.008955279341546,-6.728346980107636
Перово,45312000,140923,72920,68529,4397,32805,33934,15163,140783,79118,73411,5709,38238,39992,15655,6.029895776193088,7.215804241765464,29.83852626790995,19.667146988750893,-0.09934503239357184,8.499725726823915,16.561499771376308,46.22161255906112,40.94094879439301,51.74456972956863,56.19854669953048,8.607622004085759
Преображенское,45316000,88266,61129,58691,2444,46599,43963,109771,90017,70295,66529,3771,58440,56757,88052,3.9981023736687984,5.364535173198663,54.2962356792144,34.177033798061004,1.9837763125099217,14.994519786026261,25.41041653254361,235.56514088285155,150.67077344284738,69.25543244284323,78.09080507015342,12.757660035697649
Северное Измайлово,45313000,87193,26559,23897,2664,24081,26061,6296,87564,24248,22076,2173,31314,33261,11514,10.030498136225008,8.961563840316728,-18.430930930930934,-10.656841578463961,0.4254928721342255,-8.701381829135135,30.036128067771273,26.145093642290604,36.769496072044454,30.460013991948895,27.691745466173312,-9.088205036633546
Соколиная Гора,45314000,89849,114277,109742,4544,41345,42224,20040,91085,115178,105860,9326,49088,51758,18736,3.976303193118475,8.097032419385647,105.23767605633805,103.63216852775827,1.375641353826973,0.788435118177766,18.72777844963116,48.47018986576369,38.16818774445893,127.1878373715901,126.45111708843388,-0.5792379982087703
Сокольники,45315000,60723,81386,77650,3744,40264,41354,17570,61164,73892,68655,5237,51283,53946,16367,4.600299805863417,7.087370757321495,39.87713675213676,54.06323623273697,0.726248703127319,-9.207971887056743,27.36687860123186,43.63699582753825,31.91505957139793,134.0282924097953,120.80962657772545,-9.862593631838134
Внуково,45317000,24453,23607,23098,511,65994,66968,21735,25406,27975,27048,932,78104,80150,18292,2.1646121912991907,3.331546023235031,82.38747553816046,53.90960268201446,3.8972723183249514,18.502986402338294,18.350153044216142,32.93481225565961,23.42005531086756,96.5403018034597,110.11178461780682,14.057841710476993
Дорогомилово,45318000,71964,92593,88091,4510,48641,49273,36220,74865,95514,90316,5194,60050,61022,43192,4.870778568574298,5.437946269656805,15.166297117516624,11.644292449297676,4.031182257795574,3.154666119469085,23.455521062478148,74.4639296067104,71.92672772689426,128.66572174976378,127.58164696453616,-0.8425513574905175
Крылатское,45319000,82046,45440,41951,3494,78195,74572,121585,82593,46537,43304,3239,90543,87220,134810,7.689260563380282,6.960053290929798,-7.298225529479108,-9.483451190655412,0.6666991687589885,2.4141725352112786,15.791291003261087,155.48948142464351,148.89058237522502,55.383565317017286,56.344968701948105,1.7359001346838543
Кунцево,45320000,150189,49134,46575,2566,42004,43243,19393,151423,55271,51898,3375,49567,51463,20370,5.222452883950014,6.106276347451647,31.52766952455184,16.923531588343433,0.8216314110886858,12.490332559938121,18.005428054471007,46.16941243691077,41.0958904109589,32.71477937798374,36.501059944658344,11.573608744012143
Можайское,45321000,136836,81101,74518,6591,50648,53258,21077,137746,91722,83154,8570,59455,62685,28087,8.126903490709116,9.343450862388522,30.025792747686243,14.96938376431065,0.6650296705545289,13.096016078716666,17.388643184331066,41.614673827199496,47.24077033050206,59.26875968312432,66.58777750352097,12.348862806522675
Ново-Переделкино,45322000,120737,18419,17329,1092,43379,43804,36549,121947,22371,19849,2524,45223,48219,21628,5.928660622183615,11.282463904161638,131.13553113553112,90.30375700618424,1.0021782883457453,21.456105108854985,4.250904815694234,84.25505428894165,47.82522167923402,15.255472638876235,18.344854731973726,20.250975936495564
Очаково-Матвеевское,45323000,126347,70245,64127,6124,37743,38241,32492,129890,89180,78434,10738,37866,40402,19342,8.718058224784683,12.040816326530612,75.34291312867407,38.11351124381823,2.8041821333312233,26.955655206776274,0.3258882441777189,86.08748642132316,51.08012465008187,55.59688793560591,68.65809531141736,23.492695114408836
Проспект Вернадского,45324000,63452,31976,30486,1494,54538,56420,15985,63597,31832,29388,2445,58602,61025,29455,4.672254190642982,7.680949987434029,63.654618473895574,64.3949510028049,0.22851919561244216,-0.4503377533149888,7.451685063625368,29.309839011331547,50.26278966588171,50.39399861312488,50.05267544066544,-0.6773091674661114
Раменки,45325000,136421,87431,83017,4433,42600,43667,22430,139127,92823,86269,6563,50548,52675,22520,5.070283995379214,7.070445902416426,48.0487254680803,39.44871547353272,1.983565580079305,6.167148951744794,18.65727699530517,52.652582159624416,44.5517132230751,64.089106515859,66.71817835502814,4.102213281002087
Солнцево,45326000,122410,22975,21589,1388,39657,39478,42386,124797,24618,22489,2134,45126,47153,23660,6.041349292709467,8.668453976764969,53.7463976945245,43.48539633730199,1.9500040846336164,7.1512513601740935,13.790755730388081,106.88150893915324,52.4309710588131,18.76889143043869,19.726435731628165,5.101762694607337
Тропарево-Никулино,45327000,121346,53676,48994,4685,41189,43934,12459,123478,58507,53558,4947,46610,49353,16920,8.728295700126685,8.455398499324868,5.592315901814304,-3.1265806083753067,1.7569594383003873,9.000298084805136,13.161280924518692,30.24836728252689,36.30122291353787,44.23384371961169,47.38252968140073,7.118273468948
Филевский парк,45328000,91974,72921,69498,3431,39643,40413,23966,92740,71063,65769,5298,57961,60668,24304,4.70509181168662,7.455356514641938,54.41562226756047,58.452944448908426,0.8328440646269586,-2.547962863921227,46.20740105441061,60.4545569205156,41.9316436914477,79.28436297214431,76.62605132628855,-3.352882644449995
Фили Давыдково,45329000,114526,29764,28410,1357,43499,44184,29069,114907,33046,31231,1820,47828,48610,34271,4.55919903238812,5.507474429583006,34.11938098747236,20.799166486446996,0.33267554965683566,11.026743717242304,9.951952918457895,66.82682360514035,71.65467926737476,25.988858425161098,28.758909378889015,10.658609579580824
Матушкино,45331000,39871,23721,22516,1212,37360,38546,15106,40351,26864,25025,1845,45747,47662,19624,5.10939673706842,6.867927337701013,52.22772277227723,34.41757786931168,1.2038825211306392,13.249862990599048,22.44914346895075,40.433618843683085,42.89680197608586,59.49436934112513,66.57579737800798,11.902686111823101
Савелки,45377000,33724,15876,15280,601,37329,38005,19826,34147,16630,15852,779,46090,47173,23971,3.7855883093978333,4.684305472038484,29.617304492512474,23.740488642400948,1.2542996085873614,4.749307130259517,23.469688445980342,53.11152187307455,52.009112605771314,47.0762661605978,48.70120361964448,3.4517127027519745
Силино,45332000,39621,12707,12285,422,31707,32116,19808,39987,10780,10305,475,38349,39100,22052,3.321004170929409,4.406307977736549,12.559241706161139,32.67998927274483,0.9237525554630199,-15.164869756826949,20.948055634402497,62.47200933547797,57.50345510965084,32.071376290351076,26.958761597519192,-15.941363559037702
Старое Крюково,45927000,30418,21657,21247,413,48893,49260,29647,30853,23277,22845,441,56762,57245,30571,1.907004663619153,1.8945740430467843,6.779661016949157,-0.6518400719994877,1.4300742981129488,7.480260423881413,16.094328431472803,60.63649193136032,53.85821500299496,71.19797488329279,75.44485139208504,5.964883854847991
Крюково,45330000,94263,14806,14048,759,28773,29574,13906,97746,16642,15554,1084,37252,38452,20115,5.12630014858841,6.513640187477467,42.819499341238476,27.06318394702423,3.694981063619873,12.400378225043895,29.468599033816425,48.33003162687241,53.997100826801244,15.707117320687862,17.025760644936877,8.39519624974232
Аэропорт,45333000,78943,84913,67265,17657,51874,58698,25853,79294,82641,68375,14279,63159,70475,28070,20.794224677022363,17.278348519500007,-19.13122274452058,-16.907945413359904,0.44462460256133873,-2.675679813456122,21.75463623395151,49.83806916759841,44.443388907360784,107.56241845382111,104.22100032789366,-3.106492187475307
Беговое,45334000,42735,100627,97638,2991,58033,57713,68426,42769,100824,92917,7915,66623,68579,43590,2.9723632822204777,7.850313417440293,164.62721497826814,164.1101598986173,0.07956007956007038,0.19577250638496135,14.801923043785425,117.90877604121793,65.4278552451856,235.46741546741546,235.74084032827514,0.11612004162737666
Бескудниковское,45335000,77768,15760,14808,954,42355,43807,19729,78971,14637,13465,1173,48284,50801,19319,6.053299492385786,8.013937282229964,22.9559748427673,32.389571874155386,1.5469087542433924,-7.1256345177665,13.998347302561687,46.58009680084996,40.01118382901168,20.2654047937455,18.534651960846386,-8.540430603356485
Войковское,45336000,69273,65479,61564,3917,70508,70129,76437,70192,72746,68029,4719,73756,74642,60947,5.982070587516609,6.486954609188134,20.474853203982633,8.439954264751016,1.3266351969742907,11.098214694787645,4.606569467294497,108.40897486810007,82.63327729269483,94.52311867538579,103.63859129245498,9.643643528493628
Восточное Дегунино,45337000,98206,25876,24741,1136,41715,42370,27403,98864,24099,22526,1574,51106,52916,25171,4.3901684959035405,6.531391344039172,38.55633802816902,48.773135931652824,0.6700201617009238,-6.867367444736439,22.512285748531703,65.69099844180751,49.25253394904708,26.348695599046902,24.375910341479205,-7.48722171141959
Головинское,45338000,103157,49518,46277,3246,40627,41233,31922,103148,58247,53519,4734,53329,55152,32655,6.555192051375257,8.127457208096555,45.84103512014788,23.985035745694773,-0.00872456546816558,17.627933276788244,31.264922342284684,78.57336254215177,61.233100189390385,48.00255920587066,56.46934501880793,17.638196698274754
Дмитровское,45339000,92405,31719,30474,1248,36077,36878,16422,93217,26219,24611,1607,39916,41213,20073,3.9345502695545256,6.129142987909531,28.76602564102564,55.777473103767974,0.8787403279043371,-17.33976480973549,10.641128696953729,45.519305928985226,50.28810502054314,34.32606460689357,28.12684381604214,-18.059806336222017
Западное Дегунино,45340000,81492,30759,28966,1800,26544,26635,24965,83262,33108,31243,1849,31188,31813,20828,5.85194577196918,5.584752929805485,2.722222222222226,-4.565880351173934,2.17199234280665,7.636789232419772,17.495479204339958,94.05138637733575,66.7820956778248,37.74480930643499,39.76363767384881,5.348625160677756
Коптево,45341000,101036,35730,34138,1593,41988,42091,39744,101894,33216,31362,1862,53927,54689,40855,4.458438287153652,5.6057321772639686,16.886377903327055,25.73308894767208,0.8492022645393726,-7.036104114189756,28.434314566066487,94.65561589025435,75.75982346505461,35.36363276455916,32.59858284099162,-7.81890803463674
Левобережное,45342000,53154,21973,21309,664,38176,37027,75035,53951,23575,22348,1228,40397,39864,50075,3.021890501979702,5.208907741251326,84.93975903614457,72.37248463631836,1.4994167889528454,7.290765940017296,5.817791282481144,196.55018860016764,123.9572245463772,41.338375286902206,43.697058441919516,5.705795495462174
Молжаниновское,45343000,5823,4286,3968,318,79248,84448,14361,9903,4577,4346,232,100266,104630,18099,7.419505366308912,5.068822372733232,-27.04402515723271,-31.682475819073485,70.06697578567749,6.789547363509096,26.521804966686858,18.121592973955178,18.05098438154509,73.60467113171904,46.218317681510655,-37.20735794226866
Савеловское,45344000,59327,61496,59864,1634,59252,59421,53001,59184,64057,61184,2879,60222,60695,50050,2.657083387537401,4.494434644145058,76.19339045287639,69.14917556691829,-0.24103696461982294,4.16449850396774,1.637075541753874,89.45014514277999,83.10916276443824,103.65600822559712,108.23364422816978,4.416180095040789
Сокол,45345000,59112,53689,51085,2613,41285,42119,24842,59349,67669,62225,5453,44216,46803,14630,4.866918735681425,8.058342815764973,108.68733256792957,65.57381072927883,0.40093382054404714,26.038853396412676,7.09943078599975,60.1719752936902,33.08757011036729,90.82588983624306,114.01877032468956,25.535538963904123
Тимирязевское,45346000,83324,45203,43311,1896,45405,46136,28612,83641,42207,39993,2218,57441,59018,28898,4.19441187531801,5.255052479446537,16.983122362869207,25.286992209083238,0.3804426095722624,-6.627878680618549,26.508093822266265,63.0150864442242,50.309012726101564,54.249675963707936,50.46209394913978,-6.98175970138879
Ховрино,45347000,85325,42827,36658,6172,29588,32638,11455,87845,32536,27805,4734,36631,40408,14423,14.41146940014477,14.55003688222277,-23.298768632534028,0.9615083530386537,2.953413419279216,-24.029233894505797,23.80356901446532,38.715019602541574,39.37375447025743,50.19279226486962,37.037964596732884,-26.20859903294106
Хорошевское,45348000,67448,143305,137700,5612,58788,58407,68047,71127,164056,156938,7124,62545,63160,48949,3.916122954537525,4.342419661578973,26.94226657163221,10.885682395326924,5.454572411339109,14.480304246188203,6.3907600190515,115.74981288698373,78.2620513230474,212.4673822796821,230.65221364601348,8.558881448632771
Алексеевское,45349000,80327,72165,69128,3053,40128,41186,15977,80391,78678,73092,5589,42379,44555,13891,4.230582692440934,7.103637611530542,83.06583688175564,67.91156509534935,0.07967433117133105,9.025150696320928,5.609549441786288,39.81509170653907,32.77802685292244,89.83903295280541,97.86916445870807,8.938354790752335
Алтуфьевское,45350000,57194,19011,17626,1385,35296,36055,25641,57408,23071,19142,3930,37342,41610,16548,7.285255904476355,17.034372155519918,183.75451263537906,133.8198188076456,0.3741651222156195,21.356057019620224,5.796690843155039,72.64562556663644,44.314712655990576,33.23950064692101,40.187778706800444,20.903677626465967
Бабушкинское,45351000,88217,43005,40766,2244,30822,31557,17393,88296,48321,44820,3503,34267,35787,14794,5.217997907220091,7.249436062995384,56.105169340463455,38.93137160834068,0.08955190042736483,12.36135333100803,11.177081305560964,56.430471740964244,43.17273178276476,48.74910731491663,54.726148409893995,12.260821631801377
Бибирево,45352000,159903,18644,17008,1639,24859,25954,13458,160053,18995,17340,1656,30191,31171,19897,8.791031967388973,8.718083706238485,1.0372178157413092,-0.829803161006526,0.09380687041518065,1.8826432096116674,21.44897220322619,54.13733456695764,65.90374614951476,11.659568613471917,11.867943743634921,1.787159860462073
Бутырское,45353000,70712,63450,59484,3972,39169,40397,20726,71013,69746,65384,4373,48501,49869,27920,6.260047281323877,6.269893613970694,10.095669687814702,0.15728847090648035,0.4256703246973581,9.922773837667464,23.824963619188644,52.914294467563636,57.56582338508484,89.73017309650413,98.2158196386577,9.456848515189332
Лианозово,45354000,84896,18937,17903,1036,29658,30537,14399,85837,16909,15710,1199,39779,41061,22980,5.4707715055182975,7.090898338163108,15.73359073359073,29.614229565438976,1.108415001884655,-10.709193642076354,34.125699642592224,48.55013824263268,57.769174690163155,22.306115718055032,19.69896431608747,-11.68805647259007
Лосиноостровское,45355000,82941,20003,19061,942,28843,29291,19762,82869,20586,19333,1253,34669,35682,19036,4.709293605959107,6.086660837462353,33.01486199575372,29.247852156857146,-0.0868086953376479,2.9145628155776704,20.19900842492113,68.51575772284437,54.907842741353946,24.117143511652863,24.84161749266915,3.0039792260896814
Марфино,45356000,33009,20818,18989,1832,30196,31788,13647,35196,18386,17100,1288,39627,41448,15384,8.800076856566433,7.005330142499728,-29.694323144104807,-20.394670902533107,6.625465782059448,-11.68219809779998,31.232613591204128,45.19472777851371,38.82201529260353,63.0676482171529,52.23889078304353,-17.170066968129316
Марьина Роща,45357000,67295,63158,59901,3266,55084,55693,43770,67367,69282,65074,4212,60797,62574,33289,5.17115804806992,6.079501169134841,28.96509491733006,17.565564862283622,0.10699160413105702,9.696317172804703,10.371432720935303,79.4604603877714,54.75434643156735,93.85244074596925,102.84263808689714,9.579076760786332
Останкинское,45358000,63023,81035,75298,5753,45040,47372,14390,63148,89914,73359,16559,51326,59846,13566,7.099401493181959,18.416486865226773,187.83243525117328,159.40900627909812,0.1983402884661256,10.956993891528356,13.95648312611013,31.949378330373,26.431048591357207,128.58004220681337,142.38614049534428,10.737357098020395
